,birth_date,birth_place,death_date,education,gender,occupation,viaf,wkp
64,1813-01-01T00:00:00Z,,1858-12-20T00:00:00Z,,male,,,Q11092003
65,1173-06-04T00:00:00Z,Kyoto,1263-01-30T00:00:00Z,,male,,25398003,Q512934
66,1643-12-26T00:00:00Z,,1724-06-29T00:00:00Z,,male,samurai,65467806,Q841837
67,1838-06-14T00:00:00Z,Hagi,1922-02-01T00:00:00Z,Sh?ka Sonjuku,male,politician,57421969,Q297636
68,1605-01-01T00:00:00Z,Shizuoka,1651-09-10T00:00:00Z,,male,,66339016,Q8060473
69,1804-10-03T00:00:00Z,Washington County,1878-02-25T00:00:00Z,,male,diplomat,52491637,Q610626
70,1863-01-01T00:00:00Z,Nagoya,1903-01-01T00:00:00Z,University of Tokyo,male,philosopher,20818362,Q6419167
71,1644-01-01T00:00:00Z,Q3148112,1694-11-28T00:00:00Z,,male,poet,12304628,Q5676
72,1761-09-13T00:00:00Z,Kiba,1816-10-27T00:00:00Z,,male,poet,59133304,Q938347
73,0866-01-01T00:00:00Z,,0945-06-30T00:00:00Z,,male,poet,90721405,Q468288
74,1559-09-01T00:00:00Z,?mi Province,1600-11-06T00:00:00Z,,male,samurai,52528865,Q334107
75,1827-11-27T00:00:00Z,,1872-01-01T00:00:00Z,,male,samurai,57453872,Q711001
76,1838-03-11T00:00:00Z,Saga,1922-01-10T00:00:00Z,,male,politician,74655776,Q243141
77,1763-06-15T00:00:00Z,Shinano Province,1828-01-05T00:00:00Z,,male,painter,14771916,Q312709
78,1816-03-01T00:00:00Z,Tokyo,1893-01-22T00:00:00Z,,male,screenwriter,41960718,Q1737345
79,0701-01-01T00:00:00Z,,0760-08-04T00:00:00Z,,female,,173190366,Q837932
80,0695-01-01T00:00:00Z,Kurashiki,0775-11-03T00:00:00Z,,male,philosopher,73768237,Q1063276
81,1609-05-10T00:00:00Z,,1682-06-27T00:00:00Z,,male,philosopher,35776952,Q3148401
82,1163-01-01T00:00:00Z,,1224-07-15T00:00:00Z,,male,samurai,54079867,Q1028811
83,1600-11-01T00:00:00Z,,1682-01-01T00:00:00Z,,male,,38269764,Q11093536
84,1834-04-19T00:00:00Z,Fukui,1859-11-01T00:00:00Z,,male,samurai,72201183,Q1036286
85,1879-10-20T00:00:00Z,Yamaguchi Prefecture,1946-01-30T00:00:00Z,University of Tokyo,male,journalist,22933447,Q1135505
86,0966-01-01T00:00:00Z,,1025-01-01T00:00:00Z,,female,diarist,292487559,Q231603
87,1834-03-18T00:00:00Z,Hizen Province,1874-04-13T00:00:00Z,,male,politician,35295274,Q1202291
88,1200-01-26T00:00:00Z,Uji,1253-09-29T00:00:00Z,,male,bhikkhu,4929063,Q318064
89,1867-03-19T00:00:00Z,Kosai,1930-10-30T00:00:00Z,,male,engineer,67931629,Q137727
90,1615-01-01T00:00:00Z,Himeji,1664-01-18T00:00:00Z,,male,,46693207,Q6564173
91,1864-12-31T00:00:00Z,Edo,1929-08-16T00:00:00Z,Bryn Mawr College,female,feminist,52490783,Q514524
92,1164-01-01T00:00:00Z,,1205-07-10T00:00:00Z,,male,bushi,51621664,Q3128268
93,1697-04-24T00:00:00Z,Q11379268,1769-11-27T00:00:00Z,,male,poet,5730760,Q1343397
